a 61
a.pcap E003
a.smcp E147
aacute E1
aacute.pcap E01E
aacute.smcp E162
abreve 103
abreve.pcap E03D
abreve.smcp E181
acaron.pcap E086
acaron.smcp E1CA
acircumflex E2
acircumflex.pcap E01F
acircumflex.smcp E163
acute B4
acutecomb 301
acutecombhigh E2E0
adieresis E4
adieresis.pcap E021
adieresis.smcp E165
ae E6
ae.pcap E023
ae.smcp E167
aeacute 1FD
aeacute.pcap E09E
aeacute.smcp E1E2
aemacron.pcap E090
aemacron.smcp E1D4
afii00208 2015
afii10017 410
afii10018 411
afii10019 412
afii10020 413
afii10021 414
afii10022 415
afii10023 401
afii10024 416
afii10025 417
afii10026 418
afii10027 419
afii10028 41A
afii10029 41B
afii10030 41C
afii10031 41D
afii10032 41E
afii10033 41F
afii10034 420
afii10035 421
afii10036 422
afii10037 423
afii10038 424
afii10039 425
afii10040 426
afii10041 427
afii10042 428
afii10043 429
afii10044 42A
afii10045 42B
afii10046 42C
afii10047 42D
afii10048 42E
afii10049 42F
afii10050 490
afii10051 402
afii10052 403
afii10053 404
afii10054 405
afii10055 406
afii10056 407
afii10057 408
afii10058 409
afii10059 40A
afii10060 40B
afii10061 40C
afii10062 40E
afii10065 430
afii10066 431
afii10067 432
afii10068 433
afii10069 434
afii10070 435
afii10071 451
afii10072 436
afii10073 437
afii10074 438
afii10075 439
afii10076 43A
afii10077 43B
afii10078 43C
afii10079 43D
afii10080 43E
afii10081 43F
afii10082 440
afii10083 441
afii10084 442
afii10085 443
afii10086 444
afii10087 445
afii10088 446
afii10089 447
afii10090 448
afii10091 449
afii10092 44A
afii10093 44B
afii10094 44C
afii10095 44D
afii10096 44E
afii10097 44F
afii10098 491
afii10099 452
afii10100 453
afii10101 454
afii10102 455
afii10103 456
afii10104 457
afii10105 458
afii10106 459
afii10107 45A
afii10108 45B
afii10109 45C
afii10110 45E
afii10145 40F
afii10146 462
afii10147 472
afii10193 45F
afii10194 463
afii10195 473
afii10846 4D9
afii57645 5BE
afii57658 5C3
afii57664 5D0
afii57665 5D1
afii57666 5D2
afii57667 5D3
afii57668 5D4
afii57669 5D5
afii57670 5D6
afii57671 5D7
afii57672 5D8
afii57673 5D9
afii57674 5DA
afii57675 5DB
afii57676 5DC
afii57677 5DD
afii57678 5DE
afii57679 5DF
afii57680 5E0
afii57681 5E1
afii57682 5E2
afii57683 5E3
afii57684 5E4
afii57685 5E5
afii57686 5E6
afii57687 5E7
afii57688 5E8
afii57689 5E9
afii57690 5EA
afii57716 5F0
afii57717 5F1
afii57718 5F2
afii57793 5B4
afii57794 5B5
afii57795 5B6
afii57796 5BB
afii57797 5B8
afii57798 5B7
afii57799 5B0
afii57800 5B2
afii57801 5B1
afii57802 5B3
afii57803 5C2
afii57804 5C1
afii57806 5B9
afii57807 5BC
afii57839 5BD
afii57841 5BF
afii57842 5C0
afii61248 2105
afii61289 2113
afii61352 2116
agrave E0
agrave.pcap E01D
agrave.smcp E161
alpha 3B1
alphatonos 3AC
amacron 101
amacron.pcap E03C
amacron.smcp E180
ampersand 26
ampersand.pcap E085
ampersand.smcp E1C9
angleleft 2329
angleright 232A
anoteleia 387
aogonek 105
aogonek.pcap E03E
aogonek.smcp E182
approxequal 2248
aring E5
aring.pcap E022
aring.smcp E166
aringacute 1FB
aringacute.pcap E09D
aringacute.smcp E1E1
arrowboth 2194
arrowdown 2193
arrowleft 2190
arrowright 2192
arrowup 2191
arrowupdn 2195
asciicircum 5E
asciitilde 7E
asterisk 2A
at 40
atilde E3
atilde.pcap E020
atilde.smcp E164
b 62
b.pcap E004
b.smcp E148
backslash 5C
bar 7C
beta 3B2
braceleft 7B
braceright 7D
bracketleft 5B
bracketright 5D
breve.cyrillic E2E6
breve 2D8
brokenbar A6
bullet 2022
c 63
c.pcap E005
c.smcp E149
cacute 107
cacute.pcap E03F
cacute.smcp E183
caron 2C7
caroncombhigh E2E3
ccaron 10D
ccaron.pcap E042
ccaron.smcp E186
ccedilla E7
ccedilla.pcap E024
ccedilla.smcp E168
ccircumflex 109
ccircumflex.pcap E040
ccircumflex.smcp E184
cdotaccent 10B
cdotaccent.pcap E041
cdotaccent.smcp E185
cedilla B8
cedillafloating E2E4
cent A2
chi 3C7
circle 25CB
circumcombhigh E2E1
circumflex 2C6
ckreska E28E
ckreska.pcap E298
ckreska.smcp E29D
clickalveolar.pcap E080
clickalveolar.smcp E1C4
clickdental.pcap E07E
clickdental.smcp E1C2
clicklateral.pcap E07F
clicklateral.smcp E1C3
club 2663
colon 3A
comma 2C
congruent 2245
copyright A9
currency A4
d 64
d.pcap E006
d.smcp E14A
dagger 2020
daggerdbl 2021
dcaron 10F
dcaron.pcap E043
dcaron.smcp E187
dcroat 111
degree B0
delta 3B4
delta.pcap E0B9
delta.smcp E1FD
diamond 2666
dieresis A8
dieresistonos 385
divide F7
dollar.alt E3B0
dollar 24
dong 20AB
dotaccent 2D9
dotbelowcomb 323
dotlessi 131
dotmath 22C5
e 65
e.pcap E007
e.smcp E14B
eacute E9
eacute.pcap E026
eacute.smcp E16A
ebreve 115
ebreve.pcap E045
ebreve.smcp E189
ecaron 11B
ecaron.pcap E048
ecaron.smcp E18C
ecircumflex EA
ecircumflex.pcap E027
ecircumflex.smcp E16B
edieresis EB
edieresis.pcap E028
edieresis.smcp E16C
edotaccent 117
edotaccent.pcap E046
edotaccent.smcp E18A
egrave E8
egrave.pcap E025
egrave.smcp E169
eight.denom E426
eight 38
eight.numerator E430
eight.proportionallining E41C
eight.small E45B
eight.smaller E3FE
eight.tabularlining E412
eight.tabulartext E408
ellipsis 2026
emacron 113
emacron.pcap E044
emacron.smcp E188
emdash 2014
emptyset 2205
endash 2013
eng.altsmcp E28B
eng 14B
eng.pcap E05F
eng.smcp E1A3
eogonek 119
eogonek.pcap E047
eogonek.smcp E18B
epsilon 3B5
epsilontonos 3AD
equal 3D
equivalence 2261
estimated 212E
eta 3B7
etatonos 3AE
eth F0
eth.pcap E02D
eth.smcp E171
exclam 21
exclam.pcap E081
exclam.smcp E1C5
exclamdbl 203C
exclamdown A1
exclamdown.pcap E083
exclamdown.smcp E1C7
f.alt E307
f 66
f.pcap E008
f.smcp E14C
female 2640
figuredash 2012
five.denom E423
five 35
five.numerator E42D
five.proportionallining E419
five.small E458
five.smaller E3FB
five.tabularlining E40F
